Front	Back	Hint	Extra	Tags
mitocondria	Organelo que produce ATP mediante la respiracion celular	La central energetica	Tiene su propio ADN circular, heredado por via materna	biologia organelos
ribosoma	Complejo que sintetiza proteinas a partir del ARN mensajero	Traduce el ARNm	Formado por ARN ribosomal y proteinas; existe libre o adherido al RER	biologia organelos
lisosoma	Vesicula con enzimas hidroliticas que degrada material celular	Digestion intracelular	Su pH interno es acido, cercano a 4.8	biologia organelos
aparato de Golgi	Modifica, empaqueta y distribuye proteinas y lipidos	Centro de empaque	Recibe vesiculas del reticulo endoplasmatico rugoso	biologia organelos
nucleolo	Region del nucleo donde se ensamblan los ribosomas		No esta rodeado de membrana	biologia nucleo
cloroplasto	Organelo vegetal donde ocurre la fotosintesis	Solo en plantas y algas	Contiene clorofila y tilacoides apilados en granas	biologia organelos vegetal
peroxisoma	Organelo que degrada acidos grasos y neutraliza peroxido de hidrogeno		Contiene la enzima catalasa	biologia organelos
citoesqueleto	Red de filamentos que da forma y permite el movimiento celular		Compuesto por microtubulos, microfilamentos y filamentos intermedios	biologia estructura
membrana plasmatica	Bicapa lipidica que regula el intercambio con el exterior	Modelo de mosaico fluido	Descrita por Singer y Nicolson en 1972	biologia estructura
reticulo endoplasmatico rugoso	Red de membranas con ribosomas adheridos que sintetiza proteinas de exportacion		Continuo con la envoltura nuclear	biologia organelos
